"","story_id","rf_2015","svm_2015","nnet_2015"
"1","25501726jiangxi","0.243","0.148096833396204","0.116528363148851"
"2","25501726shanxi","0.329","0.263588105083286","0.309500712875004"
"3","25501726sichuan","0.6","0.581870965014412","0.745988347801992"
"4","22834745guangdong","0.814","0.965718317765336","0.960524299370098"
"5","25942100beijing","0.336","0.416559459146637","0.295784273977154"
"6","25942100liaoning","0.843","0.958975366639331","0.961261026756745"
"7","5953958fujian","0.794","0.880539412264215","0.959308444962088"
"8","1517019beijing","0.205","0.113802114385108","0.0818201561274571"
"9","1517019heilongjiang","0.533","0.664616407414452","0.758983180642947"
"10","35437033beijing","0.046","0.163305946278341","0.148966729794489"
"11","35437033guangdong","0.381","0.604550633271976","0.904049043570019"
"12","35437033henan","0.305","0.140430684408515","0.298768511874318"
"13","35437033zhejiang","0.254","0.0958400728927587","0.0776563903696105"
"14","23362170shaanxi","0.584","0.844882668124896","0.934835143911675"
"15","1139483anhui","0.595","0.757060637174366","0.857525126179158"
"16","1139483beijing","0.281","0.22623876156291","0.335575179433502"
"17","1139483shanghai","0.305","0.318861680929961","0.282184124714113"
"18","3220489guangdong","0.482","0.573436016571559","0.661538951498363"
"19","2491141xinjiang","0.406","0.482238159007336","0.446161786461575"
"20","23514197beijing","0.568","0.735064544100649","0.371336453786065"
"21","23950540beijing","0.787","0.919086304366433","0.912411072200328"
"22","25191598shanghai","0.661","0.916625770542933","0.952229158831839"
"23","22787125guangxi","0.432","0.73504563630469","0.844261089388337"
"24","24921389beijing","0.268","0.18849276948201","0.109920327551403"
"25","24921389shanghai","0.368","0.513153174767021","0.0666362234862892"
"26","23719588sichuan","0.431","0.59489286431096","0.790558702836427"
"27","35032773beijing","0.116","0.131550742214248","0.103912647008989"
"28","35032773shanghai","0.293","0.173482298429376","0.186714856143646"
"29","35032773zhejiang","0.389","0.610299404327563","0.794332080344242"
"30","24090467shaanxi","0.318","0.126222750308097","0.0760948343830425"
"31","24090467shanxi","0.165","0.145729460923806","0.0549070979987602"
"32","24090467tianjin","0.603","0.577249191871933","0.758755879262822"
"33","25999825beijing","0.229","0.176482446712447","0.230647795902694"
"34","25999825guangxi","0.169","0.149024080746771","0.0912812886357225"
"35","25999825shandong","0.541","0.538031555147148","0.274254512079647"
"36","5041332gansu","0.3","0.330939046671498","0.7595845559623"
"37","5041332guangdong","0.649","0.728912794115451","0.9206507369659"
"38","4350460sichuan","0.386","0.337632036283914","0.155736513984467"
"39","4350460zhejiang","0.537","0.584730229510352","0.707483285536643"
"40","7192842beijing","0.405","0.580305283803075","0.75131933224744"
"41","7192842guangdong","0.439","0.270412153719558","0.417371446915135"
"42","7192842shandong","0.348","0.249744973370796","0.213141072679456"
"43","7192842shanghai","0.311","0.176111149089338","0.095795227253834"
